>> aali hupatikana kwa ghali. --	whatever is superior is found at great price. advice given to youth.
its mother will be bruised by the world. nina or mama yake: his or her mother. fundwa: to be pounded; also -funza = to learn.
>> ituuzayo tia iyo isokuwako si dawa. --	apply the medicine that is not so good anymore, the medicine that you don't have is useless. whatever little and old you have, use it. don't throw it away. it's better than nothing. and one day you may need it. ituuzaye, ichuruzikayo, itiririkayo: what trickles, flows. iyo, hiyo: that.
>> ivumayo haidumu. --	what roars does not last. if a person is becoming too well known, many may become jealous and by opposing put that person down
>> ivushayo ni mbovu. --	the ferry that takes you across is [looked back on as] rotten. reproach to a person who does not appreciate the help received. an interesting change of words: livushalo ni gogo: that what ferries across is [only] a tree trunk.
>> iwapo hukutana, ifanye hukusikia. --	 if people abuse you, pretend you did not hear it.
>> iwapo nia, njia hupatikana. --	if there is a will a way will be found.
>> iweke mizizi ya juhudi. --	plant the roots of generosity. "if you want friends be one"
>> iyuayo ndiyo ipigayo. --	the [arrows] that go waveringly are the ones that hit. understood: mivi = arrows. yua: wobbling, not flying straight.
>> jaha nda mwenye kolewa. --	glory [good luck] is for whom it is written [destined]. "if you are unlucky, god wants you to be so, resign yourself"
>> jaha ni ya mwenye kolewa  --	luck is for the prepared
>> jahazi chombo kikuu hakistahimili (or hakihimili) kubisha. --	 an old sail boat does not tolerate tacking. "an old person does not suffer being moved out or being maneuvered around"
>> jahazi ya mkata haiendi joshi. --	the sailboat of a poor person does not tack well.
>> jamaa kubwa haina chakula kibaya. --	in a large family no food is bad. they value any food they can get and don't waste it
>> jamala mtuni utu, sifa ya ndege si mabawa. --	the beauty of a person is mainly his good character; the bird is not praised for its wings. a bird is praised for its songs or meat. jamala: beauty, goodness, kindness.
>> jamala yako haipotei. --	your kindness will not be lost.
>> jambia kiunoni na bakora mkononi. --	a dagger in the belt [sash] and a stick in the hand. taking precautions.
>> jambo baya likitokea nyumbani yatima hukaribiwa. --	when evil leaves the house the orphan is welcomed.
>> jambo kuingia sahali, kutoka ni mashughuli. --	it is easy to get involved in a conflict, but to get out is an embarrassment. sahali (-epesi): easy. jambo: an affair, matter. shughuli: trouble.
>> jambo (or neno) usilolijua ni kama usiku wa kiza. --	the matter you do not know of is like a dark night. ignorance is like a dark night. one cannot judge things unknown. kiza for giza, darkness; northern dialect.
>> jambo usilolijua ni kama usiku wa giza. --	the matter you do not know of is like a dark night. ignorance is like a dark night. one cannot judge things unknown.
>> jamvi ulitandikavyo, ndivyo utakavyoketi. --	as you lay down a mat, so you will sit. to the extent that you prepare a matter, to the same extent you will reap its benefits. jamvi, a mat for sitting on the ground.
>> jana hufufuka leo wakati mwingine. --	yesterday is today risen at another time.
>> jangwa la simba halikosekani mfupa. --	the hunting ground of the lion does not lack a bone. signs of activity. accidents happen when people are working.
>> jani kavu mtini linalilaumu lililo chini kwa kelele. --	 a dry leaf on the tree blames the leaf on the ground for noise. it is easy to see other people's faults.
>> jaribu - uone. --	try and you'll see [know].
>> jasho la mtu haliliki. --	a person's sweat is not eaten. do not exploit or depend on another's work. kula jasho la mwenzako: to depend on the work of another. (idiom).
>> jasho la mtu mungu halitupi. --	god does not ignore a person's sweat. work is rewarded.
>> jasho ya mbwa haipiti manyoya yake. --	the sweat of a dog does not go beyond its coat. you must not inconvenience others with your difficulties.
>> jawabu la kesho huandaa [huandaliwa] leo. j; --	tomorrow's business one gets ready today.
>> jawabu na wakatiwe, na wakatiwe si zani. --	the right answer at the right time is appropriate
>> jaza ya ihsani ni ihsani. --	the reward of kindness is kindness. a person who receives kindness should give kindness in turn. jaza or jazaa, malipo, fadhili, zawadi, reward.
>> je, haikawii. --	what? the answer comes quickly. and is often bad.
>> jema halipatikani kwa urahisi. --	a good thing is not easy to get. a good thing can be obtained only through serious effort and considerable difficulty
>> jema hulipwa, lakini jema jingine halilipiki. --	a good deed is returned, but there is a good deed which cannot be returned. when the good deed is so great that it cannot be returned by a deed of equal greatness. for example, when someone sacrifices his life for you.
>> jema, jiwi lakwelea: siwe pweke usosali. --	the matter, whether right or wrong, is clear to you: you are not the only person that does not perform one's devotions. said to one who tries to be excused from the obligations of religion. it is not knowledge, but will, that makes a person religious
>> jembe ardhini, afya mwilini. --	the hoe in the soil [brings] health to the body. work brings food on the table.
>> jembe halimwongozi mlimaji. --	the hoe does not lead the farmer. the inferior (hoe) must not give orders to the higher up.
>> jembe mkononi, chakula mdomoni. --	with the hoe in the hand, there will be food to eat.
>> jenga nyumba mbele ya kuoa. --	build a house before marrying.
>> jeraha uliganga sharti ulione. --	to treat a wound you must see it. to solve a problem you must understand it. tell the doctor what ails you. see also section on "health."
>> jeraha ya rafiki yamini. --	the wound of your friend is a solemn oath. it concerns you by solemn agreement. whatever hurts your friend hurts you.
>> jeshi la haki hupenya ambapo jeshi la watu haliwezi. --	the forces of justice enter where the forces of human beings cannot. justice will be done. evil will be punished. goodness will be rewarded.
>> jibu haina kifo. --	responsibility never dies. you cannot avoid to do your duty.
>> jibu la haki halihitaji hasira. --	a sound reply does not require one to say it in anger. a person may not be obliged to answer a question, but if he does, he should do so without anger
>> jibu la upole hupunguza hasira. --	a kind answer reduces anger.
>> jibwa lenye kelele haliumi. --	a big barking dog does not bite. a person who talks a lot and threatens others does not harm others.
>> jibwa lililo na njaa halichezi na lililo na shibe. --	a big hungry dog does not play with a well fed dog.
>> jibwa lishibishwalo halendi mapipani. --	a big dog that is well fed does not go to the [garbage] drums.
>> jicho halina mpaka. --	the eye has no boundary.
>> jicho haliwezi kuangalia, pua inalia. --	[if] the eye is unable to see, the nose weeps.
>> jicho haliwezi kujiona. --	the eye cannot see itself.
>> jicho la hasidi huenda kila pembe (or upande). --	the envious eye goes everywhere. looks everywhere to satisfy its greed. what the eye sees, the heart covets.
>> jicho la jirani halikuangalii bwami. --	free translation: it is better to see than to hear. it is better to be an eye-witness then a [hearsay] witness.
>> jicho lako likikuonyesha masawi ya watu, sema: 'e, jicho wale wana macho vilevile.' --	when your eye shows you other people's immorality say, "oh, eye, those people have eyes too." masawi or ubaya, uovu, ufisadi, uzinzi, immorality.
>> jicho la mkosi halioni, likiona haliangazi. --	the eye of the unlucky person does not see, even if it sees it does not see clearly. even if the poor people are not always miserable, they however are never happy. mkosi: poor, unlucky.
>> jicho la mkubwa ni jicho la tai. --	the leader's eye is like an eagle's eye. a leader sees many of the things in the sector overseen.
>> jicho la moyo linaona mengi. --	the heart's eye sees many things. the heart feels many things, some of which are visible and others that are invisible.
>> jicho la mwinyi humnenepesha mtwana. --	a master's eye makes a slave fat. every person likes to be recognized by people in charge.
>> jicho likiugua, pua inaugua. --	if the eye is sick, so is the nose. if one part of your body hurts, your whole body suffers. near relatives feel and suffer for each other
>> jifanye mnyonge upate kujua. --	degrade yourself in order to know.
>> jifya moja haliinjiki chungu. --	one stone will not support a cooking pot. three stones form a firm platform for the pot. this proverb is used to bring people to cooperate. it is also used to advise a person to have different ways of making a living; e.g., having different crops in the field
>> jihadhari kukalia kuti bovu. --	beware of sitting on a bad branch. beware of what you put your trust in.
>> jikune unapofikia. --	scratch yourself where you can reach. do your own scratching. help yourself. do what you can.
>> jimbi tawikia jimbi, awikapo tawikia. --	a cock will crow to a cock, when he crows the other one will crow too. "people will gossip, and what one person says will go around." jimbi, jogoo: cock. tawikia for atawikia: will crow.
>> jina jema hung'aa gizani. --	a good name shines in the dark.
>> jina jema lashinda mali nyingi. --	a good name is better than many riches.
>> jinga likikwerevuka, akili hakuna tena. --	when the fool becomes intelligent [in the eyes of society], then there is no more intelligence. "when a society no longer recognizes fools as fools, then no one is intelligent"
>> jino la pembe, halinyimwi mcheshi. --	a flashing smile should be allowed to an actor. a tooth of ivory should not be denied someone who laughs. laugh with that person and hide the insult in your heart. jino la pembe, an ivory tooth. an idiom, meaning that somebody embellished his teeth.
>> jino la pembe si dawa ya pengo. --	an ivory tooth is not a cure for a gap [a lost tooth]. a substitute, however grand, is not the real thing
>> jino la utoto huzeeki nalo. --	you'll not get old with the tooth of your childhood. forget the ways of your childhood.
>> jirani mwema ni bora kuliko rafiki. --	a good neighbor is better than a friend. we can live without friends but not without neighbors.
>> jirani ndiye ndugu, usimkashifu hata kidogo. --	 a neighbor is a relative, don't slander him/her even a little. kashifu: to slander, reveal evil.
>> jirekebishe kabla hujarekebisha wengine. --	correct yourself before you correct others. if you are not a perfect example, others will not follow you nor listen to you.
>> jisaidie mungu akusaidie. --	help yourself and god may help you. don't wait for help. start doing.
>> jitahadi na bidii hazondoi makadari. --	diligence and zeal do not annul what is appointed by god. muslims believe that everything is ordained from birth to death by god. a person's means of subsistence, day and time of death are fixed. those things a person cannot change, how much one tries. this should help a person to accept failure. one cannot change one's destiny, so don't be upset. also in great difficulties leave the outcome in the hands of god
>> jitahidi, utazidi. --	make an effort and you'll succeed.
>> jitihadi haiondoi amri ya mungu. --	all man's effort can do nothing against the will of god
>> jitihadi haiondoi kuduru ya mungu. --	effort does not annul the power of god.
>> jito likinenepa ni sababu ya mito mingine. --	if a river is high, it is because other rivers have joined. a river is enlarged by its tributaries.
>> jivu halijai gao la mkono. --	one cannot keep two hands full of ashes. ashes do not fill the palm of your hand, they will escape your grasp. "do not try to keep something useless". gao: a handful. halijai = halijazi: does not fill.
>> jivu usilolilala usilipigie jibwa. --	don't beat a dog for the ashes you don't sleep in. dogs and cats like to sleep on warm ashes. humans don't. so why should you hit a dog for sleeping there? we should not refuse the use of things we don't use or need. give help where you can. jibwa, a big dog.
>> jiwe kubwa halichukuliwi na maji. --	a big stone is not carried away by water.
>> jogoo alikuwamo ndani ya yai. --	the rooster has its origins in the egg [as all fowl]. arrogant people tend to forget their origin.
>> jogoo hana shemeji. --	the rooster has no in-laws. the unfaithful and frivolous person neglects in-laws and spouse.
>> jogoo hawiki bila ruhusa. --	the rooster does not crow without permission. jogoo: a cock; a young boisterous person.
>> jogoo hawiki ugenini. --	a rooster does not crow in a strange environment.
>> jogoo hulia: "uta wangu u kule." --	the rooster crows, "my bow is far away." this is what the rooster is supposed to say, as an excuse for not being ready to fight the hawk stealing the chicken. an onomotopoetic line based on the noise made by a crowing rooster.
>> jogoo kasema usiku umekucha anikanyagae kakusudia. --	 the rooster said the day is breaking, so who steps on me does it on purpose. the fowl staying in the same house might be trod upon by a person going out early. a person doing harm often blames it on the situation. the reply to such an excuse would be this proverb.
>> jogoo la shamba haliwiki mjini. --	the country rooster does not crow in town. somebody of importance in a village is often not so in a town. country bumpkins are usually laughed at by townsfolk. an authoritarian husband often loses his arrogance outside his home.
>> jogoo liliwika katika ujirani. --	kuonyesha ujasiri bila ya mazoea.
>> jogoo mjanja huwika. --	the clever rooster crows. it is the work of the rooster to crow in the morning. it is its duty. let people know what you can do, what you are worth. saa ya shamba : the clock in the village.
>> jogoo mkubwa hamwachii mdogo kuwika. --	a big cock does not allow a small one to crow. a big rooster wants to keep its prestige. a small one will be disciplined. a bigger person can oppress a smaller one, who may be able to do as good a job.
>> jogoo mtenda mema kaliwa. --	the rooster, always beneficial, is eaten. rewards of doing good.
>> jogoo ndio saa la shamba. --	the rooster is the village's clock.
>> jogoo wawili hawawezi kusaidiana wakamate kidudu kimoja. --	two roosters are unable to help one another to catch the same insect. two enemies will fight one another.
>> johari bora ni mapenzi kuliko maisha yetu. --	love is a more precious jewel than life. johari: jewel.
>> johari za mtu ni mbili, akili na haya. --	the most precious qualities of a person are two: intelligence and modesty. johari, a precious stone.
>> joka kubwa halitemi. --	a big snake cannot spit. a snake swallows what it can. a big snake does not reject anything. it can only swallow. some people will only receive, without giving anything back.
>> joka la mdimu halitundi wala halili, huwasa watundao na walao. --	the big snake in the lime tree neither picks nor eats the fruits, but wards off the pluckers and eaters. used to describe people who do not allow people to use or to enjoy things they themselves don't use. joka, a big snake, means an angry and jealous person.
>> joka la mdimu linalinda watundao. --	the big snake of the lime tree guards against those who pluck the fruits. said of a jealous husband. too old or impotent.
>> jongo mavunda. --	rheumatism is a spoil-work. jongo: a kind of rheumatism, a swelling of the joints. mavunda or mivunja: a spoiler.
>> jongoo halipandi mtungi. --	a centipede does not climb a pot. about a sexually impotent man.
>> jongoo hupenda watu, na watu hawampendi. --	the centipede pursues man and man avoids it. man is afraid of the centipede and the latter likes to be indoors with people. usage: of somebody one does not really like, but cannot get rid of.
>> jongoo, kunja mkia, wazuri wapite mbele. --	centipede, curve your tail and let the beautiful people pass by. little people should not be pretentious.
>> joshi la mnyonge haliendi vema mpaka mungu akipenda. --	a poor person's boat does not tack well but for god's liking.
>> jua halichwi bila jambo kutokea. --	the sun never goes down without some happenings.
>> jua halichwi bila tukio. --	the sun never goes down without a happening. 
>> jua la asubuhi halidumu siku nzima. --	the morning sun does not last the whole day. do not delay your plans.
>> jua lafanya kiwi cha macho. --	the sun makes it bad for my eyes. the sun obscures the eyesight. too much of a good thing
>> jua lako. --	know what is yours.
>> jua likituchea, nyota zitapotea. --	when the sun overtakes us, the stars will be lost. morning prayers have to be performed before sunrise. there is a right time for everything
>> jua linakuchwa katika dola ya mngereza sasa. --	now the sun goes under in the empire of the englishman. in contradiction to the saying during elizabeth i: the sun does not set in the british empire.
>> juhudi si pato. --	trying is not the same as succeeding. notwithstanding the effort, one does not always get what one aimed for. 
>> jukwaani hawakai wengi. --	only few can sit on a platform. the top positions anywhere are few.
>> jumbe akikuumiza (akikuudhi) tabasamu. --	if the headman hurts (offends) you, smile. the jumbe has authority. if you take offense you may be hurt.
>> jumbe atokeapo, msalimu papo hapo. --	when the village head appears greet him there and then. the jumbe are busy people and many look to them for help. greet them before they leave. you may miss your chance to make your request.
>> jumbe mroho hufilisi wenzake. --	a greedy chief impoverishes the people. jumbe, chief, headman.
>> jumbe (or yumbe) asiye na uji haamkiwi. --	the headman who has no porridge is not greeted. nobody will come to pay respects in the morning. election candidates must offer meals
>> jumla ya siku ni saba. --	the total amount of days is seven. seven is a perfect number.
>> jungu bovu limekuwa magae. --	the deteriorated pot has become potsherds. a bad pot went to pieces. said of a bad child who grows up to no good. somebody already in difficulties and gets in greater ones. like the flounder out of the frying pan and into the fire.
>> jungu humchoma mpishi na mlaji. --	 a huge pot burns the cook and the eater. it becomes very hot and difficult to handle. this means that a quarrel often harms the initiator as well as the receiver. 
>> jungu kubwa huficha ukoko. --	a big cooking pot hides the hard-burnt food.
>> jungu kuu halikosi ukoko. --	a big pot is not without some crust. in a big family there are sure to be some squabbles. in a large family there is always something to eat. in the family circle one always finds assistance, even if it is inconvenient or is reduced to the bare essential. this proverb is used for old people, because they understand the need for storing things. so we should go to them for advice or help. when the family have eaten their fill, the servants and the poor may scrape the crusts from the pot. a rich man may always have odd jobs to do for his poorer brethren. jungu kuu: a large cooking pot used for big party cooking. ukoko: food that clings to the pot.
>> juu ufike mzinga, sharti uvutwe kwa kamba. --	the beehive cannot be raised without being pulled up with a rope. this means that for a person to be successful, assistance of others is needed. beehives are put up high in trees .
>> juu ya mwalimu kutoa ruhusa. --	it is up to the [school] master to give permission.
>> juzi na jana si kama leo. --	yesterday and the day before yesterday are not like today. days follow one another, but are not alike.
>> juzi na juzi ni kama leo. --	yesterday and the day before yesterday are not like today. days follow one another, but are not alike.
>> juzi na juzi si kama leo. --	yesterday and the day before yesterday are not like today. days follow one another, but are not alike.
>> kaa akiinua gando mambo yamekatika (or yapisie kae). --	during the time that the crab raises its claw, things have passed a long time ago. if a crab catches another creature with its claws, that's it. that creature cannot get free. if you know how, you can do a thing quickly and easily. 
>> kaa alimcheka mtoto wake mwendo. --	 the crab laughs at the way its young one walks.
>> kaa hutokotwa na maji yakwe. --	 a crab is boiled in its own water. a defenseless person will be cruelly treated
>> kaakale kaikele, mbuka kale ikeleje. --	if my sitting here does not sit well with you, why don't you go so i can sit; how does that sit with you? this probably refers to somebody who is not happy with the arrangements. kale (k'ale) = nikale: that i may sit. k'aikele, old past negative of kukala (kukaa): to sit [well], to fit, suit. mbuka = niuka or niwuka (uwuka, mbuka) from uka: depart, leave.
>> kaa mahali pakadiri yako. --	sit in your proper place.
>> kaa mkuu ng'ombe wa maji akinua gando mwelemeze nanda. --	if the big crab, a water cow, raises its claws put a forked stick between. in the sea the crab is a powerful and fierce being, but if you outsmart it, you can easily catch it. in the same way you. can overcome a dangerous person with a trick. at the same time don't mock a person in power. or a dangerous person, they may harm you. ng'ombe wa maji, like a cow in the water. could it be: big like a manatee (nguva), which is not dangerous at all
>> kaa mwoga hukimbiza gando lake. --	the timid crab withdraws its claws. a prudent person is careful to avoid danger. used to give courage to timid persons who do not trust their own ability.
>> kaa na kula utakula kilima. --	sit and eat, you'll eat a hill. stand up and work to get more and you can eat a mountain.
>> kaa na mwenye tabia njema, utashiriki ya heshima. --	stay with a person of good character and you'll share in that person's good name.
>> kaa na mwimbaji ukaimba wimbo. --	sit with a singer and you will sing songs. 
>> kaa vema. --	behave yourself.
>> kabunda mchezea pembeni. --	the small kabunda-fish plays in a corner away from the others. a certain kind of person who is afraid to show up in public.
>> kaburi la mke mwenza li kombo. --	the grave of your co-wife is crooked. "jealousy makes you find faults." mwenza for mwenzako: your companion.
>> kadiria fedha uliyonayo si ile iliyoko kwa mdeni wako. --	reckon with the money you have, not with the money that is with your debtor.
>> kadiri wafyonza pombe nayo yakufyonza akili. --	the more beer you consume, the more it will consume your brain.
>> kafiri akufaaye si isilamu asiyekufaa. --	an infidel who is of use to you is better than a muslim who is of no use to. you. an infidel who does you a good turn is not [like] a muslim who does not. but depending on the context, it could also mean: however unhelpful [bad] a muslim is he will always be better in many respects than an unbeliever who may be of use to you; i.e., do not trade a muslim for an unbeliever, you will always lose. a muslim is instructed in his religion that any muslim is a brother or sister, and that help should be given in any way in whatever circumstance. now if a pagan does what a believer is supposed to do, and helps a muslim in need, then that pagan is better for him/her than a believer. si or wala in proverbs often express a preference; e.g., is better than.
>> kafiri alipaye deni siye sawa na mwungwana adaiwaye. --	the infidel who pays his debt is better than the free person in debt.
>> kagupema ni utanguzi. --	early rising is being ahead. "the early bird catches the worm."
>> kajigeuza chachandu kujipalia makaa. --	so and so changed into an octopus, heaping live coals upon itself. said if somebody over-self-incriminates about something that person did. don't be a fool, jumping into things. chachandu, pweza, cuttlefish, octopus, a fish that jumps in the boat of a fisherman, when caught.
>> ka ka ka ka haina mbaraka. --	too much haste has no blessing. baraka: blessing; usually conveys to a swahili the exclusively physical meaning it has here. kaka kaka (onomatopoetic), indicates precipitation, too much haste.
>> kakalia kisiki nikwae. --	 i am sitting on a tree stump so that i may stumble. said of a woman who aggravates the life of her husband by accusing him of everything wrong.
>> kakalia kitundu nirushe twende. --	 i am sitting in a little nest; make me fly away. this may be said by a woman who has deteriorating marriage, but is unable to leave and so is waiting for the final straw to set her free.
>> kalamu iambiweyo kakurubia kujiri. --	a pen [a word] that has spoken brings the event nearer. "a word spoken in anger may cause unwanted reactions." kurubia for karibia: come close, approach. pate dialect. jiri for fika: come. kalamu: a pen (a pen is used to write words). iambiweyo for yaambiwayo: what is said.
>> kalamu yake hujiri, huwa alilokadiri. --	his [god's] word comes true, because it is what he has destined.
>> kalamu ya mungu haikosi. --	god's pen does not make any mistakes.
>> kalamu ya mungu haipingiki, maandiko yake hayafutiki. --	god's pen cannot be stopped; his writ cannot be wiped away.
>> kale hairudi. --	the [good] old times do not come back.
>> kalia damani na kushika mkononi. --	sit near [your own] rope [of the main sail] and hold it in your hand. "don't be a back-seat driver, stick to your job." damani or demani: rope of mainsail.
>> kalia mtu kitako. semi za kiswahili --	to put a person on his seat. to stop someone's evil doing.
>> kalimba hula samaki wadogo. --	 the big kalimba fish eats the small ones. little people are the victims of big people. instead of kalimba one could use mbota (nile perch) or chewa (rock cod) or nguru (king fish).
>> kama baba kama mtoto, mti mzuri huzaa matumda mazuri. --	"like father like son", a good tree produces good fruit.
>> kama chanda na pete. --	like finger and ring.
>> kama chui kumvisha nguo za kondoo. --	like putting sheepskin on a leopard. denying someone's evil character
>> kama hujui kufa tazama kaburi. --	if you do not know death, look at the grave.
>> kama hukula vitunguu vya pori hutakunya mbegu zake. --	if you did not eat wild onions you would not void their seeds. vitunguu vya pori, in maniema dialect, masusu.
>> kama huli panya na wali hupewi. --	if you don't eat mice, you will not be given rice [pudding]. "from a song (quasi) addressed to a cat, if you don't do your normal duty, you will receive no extras"
>> kama huna saa ya mkono lazima jua likuongoze. --	if you don't have a wristwatch look at the sun for guidance. be inventive. don't be stopped by one obstacle.
>> kama hutaweza kuvuta mtumbwi, usiuondoshe nchi kavu. --	if you are unable to guide a pirogue, don't leave dry land.
>> kama ilivyo kwa kuku ndivyo ilivyo kwa kanga. --	what happens to the chicken will also happen to the guinea fowl. all creatures are subjected to the same destiny.
>> kama kinoo na wembe. --	like the whetstone and razor.
>> kama kitanda kupata mkeka. --	like a bed getting a mat. i.e., to make a bed complete; the finishing touch.
>> kama kuna muhogo, kivunde hakiliki. --	when [sweet] cassava is available, cassava in fermentation is not eaten. it would be foolish to abstain from what is better. kivunde: cassava which has been steeped until fermentation has begun.
>> kama kungwi wandazi nipe changu kitumbua. --	if i am a pastry teacher, give me a rice-fritter. when a student does not follow the rules that are taught, the teacher will use this proverb. it's a way of telling the student that a fault was made. it could also be used by the teacher to tell the student that a reward should be given to the teacher, which might be of more common usage.
>> kama kupe na mkia wa ng'ombe. --	like a tick and a cow's tail.
>> kama kusingwa ni huku, naradhiwa taka zangu. --	if this is being rubbed with liwa wood [to make a bride's skin smooth] i prefer my own skin-dirt. singa: rub or massage with perfume: e.g., singa mwili kwa sandali, rub the body with perfume of sandalwood -j; to rub off dirt
>> kama maji yamemwagika ndiyo yameshamwagika. --	if the water is spilled it's indeed spilled.
>> kama pete na kidole. --	like ring and finger.
>> kama sahani na kawa. --	like a dish and its cover.
>> kama si kizuri usifanye, kama si kweli usiseme. --	if it is not nice don't do it, if it is not true don't say it.
>> kamata unachokiona, usingoje kijacho. --	take it when you see it, don't wait for what [might] come.
>> kama u mbaya, jifunze kuimba. --	if you [feel] bad, learn to sing. do better, do somthing new, something positive to lift your spirits.
>> kama una ngozi yenye kufa na mbaya, usitamani ngozi yenye mikia mirefu na mizuri. --	if you have an old and damaged hide, don't desire those with long and beautiful tails.
>> kama unataka kuua nyoka mpige kichwani. --	if you want to kill a snake hit it on the head.
>> kama uta na upote. --	like the bow and the bowstring.
>> kama watu hukupenda, kaa. --	if people [in a certain place] like you, stay [with them]. "the best place to settle is where you have friends"
>> kamba haikuwa kamba itakuwa kambaa? --	if the rope is not a rope, how about palm leaf strips?
>> kamba haipandi bila mti. --	a creeper [liana] does not climb without a tree. without support it's difficult to advance in society.
>> kamba hukatikia pembamba. --	a rope breaks where it is thin [or rotten]. the poor and the weak are most often blamed, even if they are not in fault, while the bourgeoisie are not blamed. the chain is no stronger than its weakest link
>> kamba ikikatika, tuunge nyingine. --	if the rope is broken we tie another. a misfortune should not stop the movement of life. said in case of money lost or a wife who has left or divorced.
>> kambara anapotembea na "mpenda kula","mpenda kula" anakula mavi mengi. --	when the catfish goes walking with the glutton-fish, the glutton-fish will eat a lot of excrements. the little ones get only the left-overs from the big ones.
>> kambare hapishi chambo. --	a catfish does not let the bait go by.
>> kambare hukunjwa mbichi. --	the catfish is straightened when fresh.
>> kambare mzuri kwa mwili, ndani machafu. --	a catfish has a nice body, but it is full of dirt. a catfish, also called mudfish, often has a bad smell.
>> kamba ya mali haivutwi kwa nguvu. --	one does not pull the rope of riches with force. one should not force one's luck.
>> kamba ya mbali haifungi kuni. --	a rope far away does not tie the firewood.
>> kanga hazai (or hatagi) ugenini (or ujani or utumwani; both = captivity). --	the guinea fowl does not breed or lay eggs in strange surroundings or captivity. "the guinea fowl is the symbol of a noble woman"
>> kangaja silile, mchuzi towele. --	i don't eat the kangaja, but its gravy is a relish. we may dislike a person, but his favors are welcome. kangaja: fish with a disagreeable smell (acanthurus gham). towele or kitoweo: anything eaten as a relish with the staple food: vegetables, meat, fish, etc.
>> kanyea pazuri kafuatwa na nzi. --	a nice place fouled is visited by flies. if a nice park is defaced, trash will be thrown on it.
>> kanzu ya kuazima usiendelee ijumaa. --	a borrowed kanzu , do not go with it to friday's prayers. kanzu: gown.
>> kapera hapiki kombe mpaka mwaka wa mavuno. --	the poor man does not cook his bowl [of rice] until the year of abundant crop. kapela or kapera: an unmarried man.
>> kapinga mwenda peke. --	the opponent has returned to solitude. one who does not conform or listen to advice is cut out.
>> kapu lililotoboka haliwekwi kitoweo. --	a basket without a bottom is never used to put food in it. this means that you should not leave your valuable article with a person who is grasping: you will lose it
>> karamu ya miraji ni sumu, na kitoweo chake ni ngumu. --	the feast of miraji [ascension of the prophet mohammed] is poison and its relish is hard. a feast on a fast-day is poison, and its relish is strangled meat. quite a translation! could this proverb refer to the prophet's vision of hell, on his ascension, where there was a lot of ugly eating going on?
>> karibu isiyo kitu, siioni ni karibu. --	if near [a relative] has nothing, i don't regard it as near."relatives are supposed to help each other mutually in times of need, if they do not, are they really relatives?"
>> karibu mgeni, lakini humwekei macho --	don't scrutinize the person who arrives. 
>> karibu mgeni, lakini humwekei macho. --	invite the stranger but do not scrutinize him. kumwekea macho, put the eyes on somebody.
>> karibu muhibu, machoni, moyoni. --	nearby is beloved, before the eyes, in the heart.
>> karibu ni mila, si kula. --	welcome is a courtesy, not [an invitation to] eating. it does not mean that one is invited to a meal.
>> kasakazi mja na swi, kusi mja na mtama. --	the northeast monsoon wind comes with fish; the southwest monsoon wind comes with sorghum.
>> kashifu nda mungu. --	revelation pertains to god. kashifu: reveal a shameful secret. nda or ni ya: is of [god]. 
>> kasuku hazai utumwani. --	the parrot does not breed in captivity
>> kata pua uunge wajihi. --	cut off your nose to mend your face. used, e.g., of a person going into debt to keep up appearances. does not have the same meaning as the english proverb, "to cut off one's nose to spite one's face," which is said of one who, to be revenged of his neighbor, has materially injured himself.
>> kata zamani utafika kwangu kuomba dawa ya mtoto. --	later you will come and ask me a remedy for [your] child. usage: to someone who refuses to render a service, warning that person that help will be denied in future needs. zamani here means, later (kingwana dialect).
>> katika kinywa cha mkubwa muna haruu, hakuna uwongo. --	the mouth of an elder may have an offensive smell, but has no lie. the truth can be hard to hear or to admit.
>> katika kujenga wabomoaji hutokea. --	during building, destroyers appear. on a big project, some things may be damaged, such as in widening a street, trees may be cut.
>> katika mawindo ya ndezi hakuna ngozi. --	while hunting the big ndezi rats don't expect to obtain [nice] skins. the hides are covered with sharp spikes and therefore they are useless.
>> katika radhi ya baba huimarika ukoo. --	in the contentment of the father the offspring will prosper.
>> katika ulimwengu "he" ni nne tu, zimeondoka mbili, na mbili zimesalia: "haya" hakuna na "huruma" hakuna, zimesalia "hila na 'hadhaa'." --	in the world there are only four "aitches" [h's]: two are gone and two are left behind; modesty and mercy are not more, there remain cunning and deceit. a lament of the nineteenth century.
>> kaukumbatie mnazi ukaupande, kazi uanze. --	embrace the coconut tree and climb it, start work. "many swahili workers used to be employed as coconut pickers. they were paid by the number of trees they had climbed."
>> kauli njema ilitoa nyoka pangoni. --	a kind word made a snake come out of its hole. to obtain something by trick or flattery.
>> kavaa kinu kajiambika mchi. --	she put on a mortar and holds on to the pestle. of someone who interferes with other people's business.
>> kavu haisuki, siuze koroma. --	the dry coconut does not reverberate, how much less that which is yet green. if the coconut you thought was ripest is proved to be unripe [being full of milk], why should you go on to shake others, which are manifestly green?
>> kawaida ni [kama] sheria. --	custom is lawlike. kawaida: a custom practised of old, unwritten law.
>> kawa pweza, kujipalia makaa. --	be an octopus and cover yourself with charcoal.
>> kawia ufike. --	better delay and get there. the important thing is to reach your goal.
>> kazi bila mchezo hayendi. --	work without play does not go well. mix work with leisure and you will never go mad (russian proverb).
>> kazi haifai ila kwa kunga. --	work is no good unless you have been taught the art. kunga, secret, trick, device; private instruction.
